iter	Logloss
0	0.6893746556
1	0.6857809161
2	0.6823411309
3	0.6790260973
4	0.675842937
5	0.672931706
6	0.6701386729
7	0.6674005194
8	0.6647437393
9	0.6622587706
10	0.6597978983
11	0.6574688578
12	0.655255113
13	0.653162749
14	0.6511072352
15	0.6492589298
16	0.6473986526
17	0.6456643151
18	0.6439865762
19	0.6423448899
20	0.6407743349
21	0.6392684949
22	0.6378100388
23	0.6364131559
24	0.6350950332
25	0.6338236574
26	0.6325931719
27	0.6314316773
28	0.630306991
29	0.6292227938
30	0.6281632978
31	0.6271860688
32	0.6262120909
33	0.6252917052
34	0.6244181353
35	0.6235869309
36	0.6227795111
37	0.6219998845
38	0.6212772796
39	0.6205662365
40	0.6198862676
41	0.6192161327
42	0.6185792099
43	0.617965558
44	0.617400917
45	0.6168190792
46	0.6163025501
47	0.6157886781
48	0.6152690291
49	0.6147920134
50	0.6143384293
51	0.6138788797
52	0.6134492608
53	0.6130362453
54	0.6126491578
55	0.612232215
56	0.6118393202
57	0.6114668136
58	0.6111110007
59	0.6107951418
60	0.6104418353
61	0.6101117927
62	0.6098285293
63	0.60953506
64	0.6092520095
65	0.6089860111
66	0.6087072782
67	0.6084363063
68	0.6082006127
69	0.6079488455
70	0.607697916
71	0.6074596787
72	0.6072020786
73	0.6069570637
74	0.606765165
75	0.6065545822
76	0.6063610074
77	0.6062010914
78	0.6060097319
79	0.6058067441
80	0.6056188119
81	0.6054727532
82	0.6052950456
83	0.6051245681
84	0.6049856012
85	0.6048266884
86	0.6046944803
87	0.6045543876
88	0.6044162538
89	0.6043035878
90	0.604169988
91	0.6040308221
92	0.6038794495
93	0.6037710306
94	0.6036472842
95	0.6035241175
96	0.6033783953
97	0.6032554791
98	0.6031545725
99	0.6030647441
100	0.6029707282
101	0.6028763293
102	0.6027721934
103	0.6026790885
104	0.60259308
105	0.602511465
106	0.6024045014
107	0.6022836164
108	0.6021938846
109	0.6020914231
110	0.6019916222
111	0.6019115226
112	0.6017918474
113	0.6017173434
114	0.6016449863
115	0.6015807415
116	0.601528653
117	0.6014357115
