iter	Passed	Remaining
0	1019	3057586
1	1962	2941855
2	2730	2727769
3	3486	2611044
4	4209	2521768
5	5024	2507167
6	5820	2488634
7	6854	2563681
8	7955	2643851
9	8885	2656630
10	9905	2691551
11	10822	2694838
12	11816	2715013
13	12636	2695204
14	13496	2685860
15	14360	2678211
16	15147	2658013
17	15955	2643318
18	16786	2633783
19	18298	2726518
20	19294	2737058
21	20399	2761290
22	22082	2858205
23	23785	2949454
24	25137	2991352
25	26005	2974644
26	26758	2946363
27	27509	2919892
28	28349	2904335
29	29110	2881980
30	29825	2856536
31	30939	2869655
32	31975	2874889
33	32885	2868738
34	33616	2847806
35	34382	2830810
36	35167	2816217
37	35912	2799262
38	36867	2799112
39	37696	2789575
40	38813	2801218
41	39842	2806023
42	40884	2811509
43	42125	2830063
44	43184	2835796
45	44208	2838944
46	45758	2875005
47	46815	2879176
48	47678	2871429
49	48512	2862219
50	49288	2850058
51	50163	2843895
52	51057	2839009
53	52018	2837906
54	52925	2833893
55	53848	2830886
56	54865	2832769
57	56157	2848533
58	57645	2873483
59	58574	2870139
60	59372	2860601
61	60440	2864122
62	61582	2870912
63	62346	2860141
64	63112	2849776
65	64243	2855928
66	65011	2845972
67	65907	2841778
68	66817	2838277
69	68207	2854976
70	69236	2856238
71	70205	2855042
72	71094	2850592
73	71904	2843126
74	72856	2841403
75	73560	2830129
76	74232	2817958
77	74988	2809190
78	75681	2798307
79	76441	2790096
80	77453	2791203
81	78245	2784407
82	79232	2784588
83	79959	2775740
84	80876	2773584
85	81928	2776038
86	82683	2768483
87	83496	2762968
88	84398	2760482
89	85262	2756821
90	86060	2751112
91	87155	2754886
92	87923	2748308
93	88719	2742751
94	89592	2739639
95	90562	2739517
96	91521	2739048
97	92368	2735249
98	93220	2731657
99	93843	2721470
100	94728	2718988
101	95668	2718124
102	96644	2718250
103	97384	2711772
104	98329	2711088
105	99274	2710387
106	100039	2704806
107	100746	2697767
108	101923	2703315
109	102793	2700669
110	103851	2702953
111	104929	2705670
112	105791	2702826
113	106672	2700492
114	107887	2706556
115	108833	2705819
116	109668	2702341
117	110714	2704054
118	111478	2698911
119	112744	2705856
120	113900	2710071
121	114931	2711251
122	116440	2723565
123	117706	2730036
124	118619	2728238
125	119496	2725652
126	120301	2721476
127	121155	2718427
128	121911	2713242
129	122613	2706917
130	123381	2702149
131	124033	2694898
132	124690	2687887
133	125230	2678436
134	125923	2672376
135	127045	2675421
136	128112	2677263
137	129316	2681918
138	130337	2682712
139	131118	2678571
140	131823	2672934
141	132487	2666540
142	133330	2663808
143	133871	2655124
144	134479	2647863
145	135519	2649128
146	136502	2649260
147	137448	2648673
148	138297	2646213
149	139223	2645251
150	140073	2642837
151	141021	2642293
152	141984	2642028
153	142689	2636975
154	143392	2631941
155	144430	2633086
156	145392	2632801
157	145952	2625304
158	146976	2626172
159	148014	2627249
160	149113	2629393
161	149919	2626372
162	151141	2630603
163	151929	2627273
164	152920	2627451
165	153837	2626353
166	154756	2625297
167	155465	2620706
168	156122	2615287
169	156862	2611296
170	157711	2609154
171	158583	2607407
172	159620	2608368
173	160645	2609101
174	162158	2617695
175	163404	2621905
176	164874	2629610
177	166290	2636359
178	167623	2641706
179	168670	2642499
180	169574	2641049
181	170027	2632621
182	170391	2622908
183	171090	2618425
184	172018	2617474
185	173082	2618565
186	173615	2611666
187	174657	2612427
188	175554	2611023
189	176228	2606329
190	177111	2604741
191	177931	2602243
192	178733	2599514
193	179595	2597653
194	180469	2595978
195	181299	2593685
196	182275	2593487
197	183346	2594628
198	184416	2595736
199	184990	2589872
200	186039	2590674
201	186923	2589164
202	187779	2587282
203	188703	2586344
204	189609	2585164
205	190680	2586219
206	191726	2586920
207	192501	2583962
208	193264	2580860
209	193982	2577197
210	194977	2577212
211	195678	2573356
212	196361	2569292
213	197036	2565153
214	197971	2564418
215	198967	2564472
216	200497	2571357
217	201447	2570764
218	202225	2567985
219	203161	2567225
220	204024	2565535
221	204532	2559415
222	205406	2557915
223	206209	2555520
224	207249	2556074
225	208297	2556716
226	209345	2557340
227	210227	2555926
228	210880	2551751
229	211916	2552214
230	212728	2549984
231	213606	2548550
232	214392	2546021
233	215345	2545497
234	216020	2541685
235	216712	2538108
236	217840	2539629
237	218913	2540501
238	220334	2545368
239	221350	2545533
240	221844	2539703
241	222132	2531580
242	223158	2531879
243	224063	2530812
244	224963	2529688
245	225695	2526684
246	226647	2526160
247	227627	2525930
248	228048	2519519
249	228801	2516815
250	229460	2513092
251	230360	2512029
252	230931	2507391
253	231977	2507914
254	232841	2506475
255	233646	2504396
256	234410	2501894
257	235509	2502970
258	236277	2500530
259	237136	2499058
260	237872	2496289
261	238641	2493899
262	239538	2492837
263	240447	2491913
264	241279	2490189
265	241979	2487109
266	243683	2494333
267	244313	2490536
268	244958	2486921
269	245768	2484992
270	246184	2479101
271	246717	2474435
272	247488	2472164
273	248339	2470709
274	249233	2469677
275	250155	2468927
276	250882	2466257
277	251415	2461702
278	252131	2458963
279	252655	2454371
280	253485	2452769
281	253962	2447769
282	254621	2444544
283	255380	2442305
284	256108	2439768
285	256495	2434015
286	256766	2427202
287	257489	2424695
288	258135	2421473
289	259310	2423212
290	260187	2422154
291	261060	2421064
292	261933	2419975
293	262216	2413460
294	263051	2412051
295	263328	2405543
296	264020	2402850
297	264887	2401769
298	265581	2399116
299	266166	2395502
300	266850	2392793
301	267436	2389216
302	268179	2387058
303	269078	2386304
304	269435	2380751
305	270211	2378920
306	271024	2377423
307	271741	2375091
308	272411	2372357
309	273214	2370793
310	273653	2366088
311	274346	2363598
312	274547	2356895
313	275359	2355459
314	275865	2351428
315	276306	2346857
316	276666	2341631
317	277381	2339422
318	277911	2335673
319	278674	2333900
320	278939	2327972
321	279680	2326039
322	280390	2323859
323	280806	2319255
324	281486	2316848
325	282163	2314431
326	282983	2313193
327	283154	2306672
328	283953	2305288
329	284776	2304103
330	285159	2299367
331	285893	2297478
332	286581	2295234
333	287280	2293080
334	287525	2287327
335	288208	2285081
336	289068	2284242
337	289801	2282401
338	290597	2281064
339	291159	2277896
340	291923	2276315
341	292845	2275977
342	293544	2273899
343	294373	2272834
344	295049	2270599
345	295849	2269318
346	296670	2268203
347	296885	2262470
348	297151	2257161
349	297658	2253697
350	298333	2251526
351	298612	2246382
352	298967	2241835
353	299381	2237747
354	300146	2236300
355	300587	2232450
356	301354	2231033
357	302067	2229223
358	302759	2227265
359	303253	2223855
360	303735	2220378
361	304473	2218785
362	305266	2217597
363	305873	2215060
364	306654	2213793
365	307356	2211957
366	308141	2210728
367	308889	2209233
368	309697	2208167
369	310403	2206380
370	311210	2205316
371	312031	2204348
372	312851	2203377
373	313344	2200111
374	314004	2198032
375	314802	2196918
376	315364	2194164
377	315938	2191508
378	316228	2186900
379	317043	2185928
380	317858	2184965
381	318533	2183041
382	319150	2180722
383	319989	2179929
384	320770	2178741
385	321042	2174105
386	321244	2169023
387	322064	2168125
388	322851	2167003
389	323644	2165930
390	324176	2163108
391	324956	2161956
392	325323	2158059
393	325662	2154003
394	326045	2150250
395	326870	2149421
396	327242	2145624
397	328032	2144574
398	328421	2140911
399	329106	2139193
400	329838	2137778
401	330436	2135506
402	331150	2133991
403	331633	2130990
404	332135	2128128
405	332847	2126619
406	333240	2123078
407	333976	2121734
408	334663	2120078
409	335210	2117551
410	335926	2116092
411	336715	2115099
412	337409	2113505
413	338248	2112827
414	339105	2112258
415	339823	2110829
416	340213	2107365
417	340903	2105770
418	341679	2104712
419	342313	2102785
420	342693	2099305
421	343423	2097974
422	344176	2096788
423	344957	2095781
424	345656	2094272
425	346450	2093344
426	347130	2091725
427	347698	2089439
428	347975	2085421
429	348241	2081349
430	348965	2080028
431	349786	2079285
432	350146	2075809
433	350544	2072575
434	350818	2068617
435	351657	2068003
436	352322	2066366
437	353144	2065655
438	353935	2064755
439	354403	2061986
440	355126	2060700
441	355865	2059512
442	356622	2058426
443	356991	2055113
444	357393	2052003
445	358285	2051704
446	359023	2050529
447	359315	2046816
448	360091	2045864
449	360362	2042054
450	361201	2041467
451	361960	2040429
452	362624	2038859
453	362994	2035645
454	363743	2034563
455	364473	2033380
456	365292	2032686
457	366052	2031668
458	366831	2030758
459	367345	2028384
460	368132	2027522
461	368877	2026431
462	369617	2025311
463	370398	2024417
464	370695	2020890
465	371114	2018037
466	371931	2017352
467	372714	2016483
468	373487	2015558
469	373887	2012629
470	374646	2011637
471	375333	2010259
472	376154	2009602
473	376360	2005669
474	377051	2004326
475	377689	2002706
476	378148	2000142
477	378544	1997255
478	379169	1995585
479	380007	1995037
480	380644	1993437
481	381389	1992402
482	382266	1992058
483	383003	1990987
484	383437	1988342
485	383851	1985603
486	384220	1982640
487	384613	1979812
488	385566	1979870
489	386268	1978642
490	387081	1977977
491	387269	1974131
492	388034	1973230
493	388466	1970644
494	388779	1967458
495	389628	1966995
496	390381	1966044
497	390717	1963000
498	391061	1960010
499	391449	1957248
500	392330	1956952
501	392790	1954565
502	393529	1953567
503	394213	1952295
504	395102	1952042
505	395585	1949783
506	396331	1948826
507	397138	1948165
508	397410	1944891
509	398139	1943857
510	398819	1942586
511	399527	1941454
512	400293	1940603
513	400826	1938626
514	401474	1937209
515	402259	1936459
516	402865	1934845
517	403238	1932118
518	403791	1930261
519	404263	1928027
520	404976	1926943
521	405847	1926610
522	406456	1925034
523	407304	1924589
524	407561	1921361
525	408327	1920534
526	408790	1918291
527	409567	1917521
528	409927	1914802
529	410655	1913811
530	411531	1913505
531	412201	1912242
532	413076	1911930
533	413620	1910089
534	414462	1909624
535	415101	1908227
536	415816	1907182
537	416639	1906628
538	417355	1905589
539	418205	1905160
540	418397	1901736
541	418688	1898773
542	419284	1897202
543	420156	1896882
544	420434	1893883
545	421041	1892371
546	421399	1889750
547	422209	1889155
548	422824	1887691
549	423370	1885923
550	423935	1884242
551	424613	1883070
552	425131	1881186
553	425906	1880446
554	426462	1878739
555	426917	1876595
556	427660	1875715
557	428458	1875079
558	429292	1874603
559	429908	1873174
560	430612	1872130
561	431216	1870651
562	432114	1870450
563	432486	1867972
564	433221	1867069
565	433983	1866282
566	434742	1865480
567	435455	1864487
568	436004	1862789
569	436576	1861192
570	437393	1860647
571	438015	1859270
572	438204	1856059
573	438623	1853831
574	439101	1851861
575	440063	1851933
576	440907	1851507
577	441469	1849893
578	442189	1848947
579	442836	1847696
580	443610	1846978
581	444243	1845671
582	444766	1843913
583	445565	1843297
584	446114	1841650
585	446873	1840872
586	447529	1839673
587	448254	1838758
588	449090	1838296
589	449399	1835682
590	450213	1835135
591	450960	1834312
592	451834	1834006
593	452586	1833203
594	452977	1830940
595	453555	1829443
596	454276	1828518
597	454469	1825478
598	455205	1824620
599	455812	1823250
600	456047	1820397
601	456529	1818536
602	457279	1817744
603	457548	1815041
604	457837	1812430
605	458667	1811964
606	459402	1811119
607	460018	1809811
608	460540	1808131
609	461254	1807211
610	461518	1804528
611	462104	1803115
612	462955	1802732
613	463621	1801630
614	463989	1799374
615	464897	1799214
616	465385	1797429
617	466026	1796239
618	466899	1795940
619	467644	1795151
620	468376	1794313
621	469070	1793325
622	469842	1792642
623	470604	1791918
624	471308	1790973
625	472043	1790147
626	472750	1789212
627	473462	1788300
628	474393	1788213
629	475206	1787683
630	475541	1785351
631	476022	1783577
632	476808	1782946
633	477661	1782564
634	478620	1782577
635	479000	1780435
636	479727	1779587
637	480503	1778916
638	480924	1776935
639	481662	1776131
640	482408	1775355
641	483130	1774487
642	483960	1774021
643	484786	1773534
644	485566	1772883
645	486159	1771547
646	486730	1770135
647	487436	1769213
648	488244	1768664
649	488981	1767857
650	489714	1767033
651	490402	1766049
652	491287	1765775
653	491910	1764558
654	492532	1763343
655	494159	1765715
656	495664	1767643
657	496555	1767376
658	497313	1766632
659	497827	1765025
660	498583	1764274
661	499378	1763665
662	500347	1763668
663	501111	1762948
664	501913	1762356
665	502710	1761749
666	503439	1760905
667	504214	1760221
668	504993	1759551
669	505313	1757285
670	506091	1756613
671	506916	1756104
672	507367	1754301
673	508085	1753420
674	508835	1752654
675	509633	1752054
676	509971	1749871
677	510726	1749124
678	511533	1748555
679	511977	1746747
680	512679	1745822
681	513256	1744471
682	514042	1743830
683	514771	1742997
684	515549	1742332
685	516246	1741390
686	517102	1740987
687	517849	1740214
688	518119	1737842
689	518876	1737108
690	519232	1735033
691	519952	1734177
692	520705	1733430
693	521447	1732649
694	522172	1731809
695	523010	1731344
696	523740	1730522
697	524026	1728236
698	524750	1727397
699	525520	1726710
700	526235	1725843
701	526966	1725026
702	527773	1724459
703	528516	1723683
704	529277	1722968
705	530199	1722774
706	530755	1721390
707	531379	1720227
708	532139	1719507
709	532856	1718650
710	533247	1716740
711	533994	1715983
712	534715	1715139
713	535515	1714549
714	536266	1713801
715	536981	1712939
716	537781	1712349
717	538537	1711618
718	539269	1710812
719	540063	1710200
720	540851	1709570
721	541650	1708973
722	542407	1708246
723	542727	1706143
724	543472	1705378
725	544196	1704548
726	545004	1703981
727	545733	1703167
728	546554	1702640
729	547273	1701794
730	548023	1701046
731	548745	1700210
732	549531	1699573
733	550231	1698670
734	550980	1697919
735	551767	1697285
736	552485	1696437
737	553292	1695864
738	554104	1695304
739	554799	1694388
740	555513	1693530
741	556276	1692819
742	557072	1692211
743	557837	1691506
744	558552	1690651
745	559298	1689890
746	560062	1689183
747	560846	1688538
748	561510	1687529
749	562217	1686652
750	562923	1685773
751	563608	1684829
752	564417	1684257
753	565162	1683495
754	565915	1682754
755	566630	1681904
756	567258	1680794
757	567997	1680013
758	568700	1679128
759	569430	1678321
760	570191	1677607
761	570946	1676873
762	571637	1675953
763	572347	1675089
764	573031	1674151
765	573787	1673422
766	574463	1672458
767	575190	1671646
768	575962	1670964
769	576674	1670108
770	577441	1669411
771	578272	1668899
772	578965	1667990
773	579500	1666624
774	580245	1665866
775	580937	1664953
776	581587	1663924
777	582387	1663322
778	583106	1662489
779	584008	1662176
780	584812	1661585
781	585623	1661013
782	586423	1660410
783	587148	1659593
784	588157	1659578
785	589264	1659836
786	590165	1659511
787	591000	1659000
788	591883	1658624
789	592848	1658474
790	593688	1657975
791	594514	1657435
792	595288	1656747
793	596228	1656524
794	597020	1655887
795	597825	1655285
796	598575	1654532
797	599434	1654077
798	600205	1653383
799	601079	1652968
